order_id,item_id,customer_id,product_id,staff_id,store_id,quantity,list_price,discount,discount_percentage,total_price,order_status,order_status_desc,order_date,required_date,shipped_date,ship_status,days_to_ship,delay_vs_required
1,1,259,20,2,1,1,599.99,0.2,20.0,479.99,4,Completed,2016-01-01,2016-01-03,2016-01-03,Completed,2.0,0.0
1,2,259,8,2,1,2,1799.99,0.07,7.0,3347.98,4,Completed,2016-01-01,2016-01-03,2016-01-03,Completed,2.0,0.0
1,3,259,10,2,1,2,1549.0,0.05,5.0,2943.1,4,Completed,2016-01-01,2016-01-03,2016-01-03,Completed,2.0,0.0
1,4,259,16,2,1,2,599.99,0.05,5.0,1139.98,4,Completed,2016-01-01,2016-01-03,2016-01-03,Completed,2.0,0.0
1,5,259,4,2,1,1,2899.99,0.2,20.0,2319.99,4,Completed,2016-01-01,2016-01-03,2016-01-03,Completed,2.0,0.0
2,1,1212,20,6,2,1,599.99,0.07,7.0,557.99,4,Completed,2016-01-01,2016-01-04,2016-01-03,Completed,2.0,-1.0
2,2,1212,16,6,2,2,599.99,0.05,5.0,1139.98,4,Completed,2016-01-01,2016-01-04,2016-01-03,Completed,2.0,-1.0
3,1,523,3,7,2,1,999.99,0.05,5.0,949.99,4,Completed,2016-01-02,2016-01-05,2016-01-03,Completed,1.0,-2.0
3,2,523,20,7,2,1,599.99,0.05,5.0,569.99,4,Completed,2016-01-02,2016-01-05,2016-01-03,Completed,1.0,-2.0
4,1,175,2,3,1,2,749.99,0.1,10.0,1349.98,4,Completed,2016-01-03,2016-01-04,2016-01-05,Completed,2.0,1.0
5,1,1324,10,6,2,2,1549.0,0.05,5.0,2943.1,4,Completed,2016-01-03,2016-01-06,2016-01-06,Completed,3.0,0.0
5,2,1324,17,6,2,1,429.0,0.07,7.0,398.97,4,Completed,2016-01-03,2016-01-06,2016-01-06,Completed,3.0,0.0
5,3,1324,26,6,2,1,599.99,0.07,7.0,557.99,4,Completed,2016-01-03,2016-01-06,2016-01-06,Completed,3.0,0.0
6,1,94,18,6,2,1,449.0,0.07,7.0,417.57,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
6,2,94,12,6,2,2,549.99,0.05,5.0,1044.98,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
6,3,94,20,6,2,1,599.99,0.1,10.0,539.99,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
6,4,94,3,6,2,2,999.99,0.07,7.0,1859.98,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
6,5,94,9,6,2,2,2999.99,0.07,7.0,5579.98,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
7,1,324,15,6,2,1,529.99,0.07,7.0,492.89,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
7,2,324,3,6,2,1,999.99,0.1,10.0,899.99,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
7,3,324,17,6,2,2,429.0,0.1,10.0,772.2,4,Completed,2016-01-04,2016-01-07,2016-01-05,Completed,1.0,-2.0
8,1,1204,22,7,2,1,269.99,0.05,5.0,256.49,4,Completed,2016-01-04,2016-01-05,2016-01-05,Completed,1.0,0.0
8,2,1204,20,7,2,2,599.99,0.07,7.0,1115.98,4,Completed,2016-01-04,2016-01-05,2016-01-05,Completed,1.0,0.0
9,1,60,7,2,1,2,3999.99,0.1,10.0,7199.98,4,Completed,2016-01-05,2016-01-08,2016-01-08,Completed,3.0,0.0
10,1,442,14,6,2,1,269.99,0.1,10.0,242.99,4,Completed,2016-01-05,2016-01-06,2016-01-06,Completed,1.0,0.0
11,1,1326,8,7,2,1,1799.99,0.05,5.0,1709.99,4,Completed,2016-01-05,2016-01-08,2016-01-07,Completed,2.0,-1.0
11,2,1326,22,7,2,2,269.99,0.1,10.0,485.98,4,Completed,2016-01-05,2016-01-08,2016-01-07,Completed,2.0,-1.0
11,3,1326,16,7,2,2,599.99,0.2,20.0,959.98,4,Completed,2016-01-05,2016-01-08,2016-01-07,Completed,2.0,-1.0
12,1,91,4,2,1,2,2899.99,0.1,10.0,5219.98,4,Completed,2016-01-06,2016-01-08,2016-01-09,Completed,3.0,1.0
12,2,91,11,2,1,1,1680.99,0.05,5.0,1596.94,4,Completed,2016-01-06,2016-01-08,2016-01-09,Completed,3.0,1.0
13,1,873,13,6,2,1,269.99,0.1,10.0,242.99,4,Completed,2016-01-08,2016-01-11,2016-01-11,Completed,3.0,0.0
13,2,873,17,6,2,2,429.0,0.05,5.0,815.1,4,Completed,2016-01-08,2016-01-11,2016-01-11,Completed,3.0,0.0
13,3,873,20,6,2,2,599.99,0.1,10.0,1079.98,4,Completed,2016-01-08,2016-01-11,2016-01-11,Completed,3.0,0.0
13,4,873,16,6,2,2,599.99,0.05,5.0,1139.98,4,Completed,2016-01-08,2016-01-11,2016-01-11,Completed,3.0,0.0
14,1,258,6,3,1,1,469.99,0.07,7.0,437.09,4,Completed,2016-01-09,2016-01-11,2016-01-12,Completed,3.0,1.0
15,1,450,12,7,2,2,549.99,0.07,7.0,1022.98,4,Completed,2016-01-09,2016-01-10,2016-01-12,Completed,3.0,2.0
15,2,450,8,7,2,1,1799.99,0.07,7.0,1673.99,4,Completed,2016-01-09,2016-01-10,2016-01-12,Completed,3.0,2.0
15,3,450,18,7,2,2,449.0,0.05,5.0,853.1,4,Completed,2016-01-09,2016-01-10,2016-01-12,Completed,3.0,2.0
15,4,450,23,7,2,2,299.99,0.2,20.0,479.98,4,Completed,2016-01-09,2016-01-10,2016-01-12,Completed,3.0,2.0
16,1,552,8,3,1,1,1799.99,0.2,20.0,1439.99,4,Completed,2016-01-12,2016-01-15,2016-01-15,Completed,3.0,0.0
16,2,552,21,3,1,1,269.99,0.05,5.0,256.49,4,Completed,2016-01-12,2016-01-15,2016-01-15,Completed,3.0,0.0
16,3,552,13,3,1,2,269.99,0.07,7.0,502.18,4,Completed,2016-01-12,2016-01-15,2016-01-15,Completed,3.0,0.0
16,4,552,14,3,1,1,269.99,0.07,7.0,251.09,4,Completed,2016-01-12,2016-01-15,2016-01-15,Completed,3.0,0.0
17,1,1175,8,3,1,1,1799.99,0.07,7.0,1673.99,4,Completed,2016-01-12,2016-01-14,2016-01-14,Completed,2.0,0.0
17,2,1175,23,3,1,1,299.99,0.1,10.0,269.99,4,Completed,2016-01-12,2016-01-14,2016-01-14,Completed,2.0,0.0
17,3,1175,5,3,1,1,1320.99,0.1,10.0,1188.89,4,Completed,2016-01-12,2016-01-14,2016-01-14,Completed,2.0,0.0
17,4,1175,20,3,1,2,599.99,0.2,20.0,959.98,4,Completed,2016-01-12,2016-01-14,2016-01-14,Completed,2.0,0.0
18,1,541,2,3,1,2,749.99,0.2,20.0,1199.98,4,Completed,2016-01-14,2016-01-17,2016-01-15,Completed,1.0,-2.0
18,2,541,22,3,1,1,269.99,0.05,5.0,256.49,4,Completed,2016-01-14,2016-01-17,2016-01-15,Completed,1.0,-2.0
18,3,541,7,3,1,1,3999.99,0.1,10.0,3599.99,4,Completed,2016-01-14,2016-01-17,2016-01-15,Completed,1.0,-2.0
18,4,541,25,3,1,2,499.99,0.05,5.0,949.98,4,Completed,2016-01-14,2016-01-17,2016-01-15,Completed,1.0,-2.0
18,5,541,9,3,1,2,2999.99,0.1,10.0,5399.98,4,Completed,2016-01-14,2016-01-17,2016-01-15,Completed,1.0,-2.0
19,1,696,10,2,1,1,1549.0,0.07,7.0,1440.57,4,Completed,2016-01-14,2016-01-17,2016-01-16,Completed,2.0,-1.0
19,2,696,9,2,1,2,2999.99,0.2,20.0,4799.98,4,Completed,2016-01-14,2016-01-17,2016-01-16,Completed,2.0,-1.0
20,1,923,9,2,1,1,2999.99,0.07,7.0,2789.99,4,Completed,2016-01-14,2016-01-16,2016-01-17,Completed,3.0,1.0
20,2,923,10,2,1,2,1549.0,0.07,7.0,2881.14,4,Completed,2016-01-14,2016-01-16,2016-01-17,Completed,3.0,1.0
21,1,1250,14,6,2,1,269.99,0.05,5.0,256.49,4,Completed,2016-01-15,2016-01-16,2016-01-18,Completed,3.0,2.0
21,2,1250,17,6,2,1,429.0,0.1,10.0,386.1,4,Completed,2016-01-15,2016-01-16,2016-01-18,Completed,3.0,2.0
21,3,1250,10,6,2,1,1549.0,0.07,7.0,1440.57,4,Completed,2016-01-15,2016-01-16,2016-01-18,Completed,3.0,2.0
22,1,1035,15,2,1,2,529.99,0.2,20.0,847.98,4,Completed,2016-01-16,2016-01-18,2016-01-17,Completed,1.0,-1.0
22,2,1035,22,2,1,1,269.99,0.05,5.0,256.49,4,Completed,2016-01-16,2016-01-18,2016-01-17,Completed,1.0,-1.0
23,1,1149,4,2,1,2,2899.99,0.05,5.0,5509.98,4,Completed,2016-01-16,2016-01-19,2016-01-19,Completed,3.0,0.0
23,2,1149,23,2,1,2,299.99,0.1,10.0,539.98,4,Completed,2016-01-16,2016-01-19,2016-01-19,Completed,3.0,0.0
23,3,1149,13,2,1,1,269.99,0.2,20.0,215.99,4,Completed,2016-01-16,2016-01-19,2016-01-19,Completed,3.0,0.0
24,1,636,3,7,2,2,999.99,0.1,10.0,1799.98,4,Completed,2016-01-18,2016-01-20,2016-01-19,Completed,1.0,-1.0
24,2,636,18,7,2,2,449.0,0.07,7.0,835.14,4,Completed,2016-01-18,2016-01-20,2016-01-19,Completed,1.0,-1.0
25,1,657,23,6,2,2,299.99,0.2,20.0,479.98,4,Completed,2016-01-18,2016-01-21,2016-01-21,Completed,3.0,0.0
25,2,657,10,6,2,2,1549.0,0.2,20.0,2478.4,4,Completed,2016-01-18,2016-01-21,2016-01-21,Completed,3.0,0.0
25,3,657,22,6,2,1,269.99,0.2,20.0,215.99,4,Completed,2016-01-18,2016-01-21,2016-01-21,Completed,3.0,0.0
25,4,657,14,6,2,1,269.99,0.2,20.0,215.99,4,Completed,2016-01-18,2016-01-21,2016-01-21,Completed,3.0,0.0
25,5,657,21,6,2,1,269.99,0.1,10.0,242.99,4,Completed,2016-01-18,2016-01-21,2016-01-21,Completed,3.0,0.0
26,1,1280,7,7,2,1,3999.99,0.05,5.0,3799.99,4,Completed,2016-01-18,2016-01-21,2016-01-19,Completed,1.0,-2.0
